Transaction Search - Company
BMO - Mastercard, Statement Period 05/06/2026 to 06/05/2026

Posting Date   Tran Date        Account                        Supplier       Amount USD
5/11/2026   5/8/2026 XXXX-XXXX-XXXX-0134   Psc Distribution, Inc.   $    919.30
5/11/2026   5/8/2026 XXXX-XXXX-XXXX-9999   Pc 3325 3e Co            $     31.43
5/11/2026   5/8/2026 XXXX-XXXX-XXXX-9999   Van Meter Inc - Iowa C   $    174.96
5/11/2026   5/8/2026 XXXX-XXXX-XXXX-3556   Hy-Vee Iowa City 1285    $       9.07
5/11/2026   5/8/2026 XXXX-XXXX-XXXX-7615   Menards Iowa City Ia     $     45.52
5/11/2026   5/8/2026 XXXX-XXXX-XXXX-9547   Dri Signs                $    168.60
5/11/2026   5/8/2026 XXXX-XXXX-XXXX-9199   Office Express           $     13.75
5/11/2026   5/8/2026 XXXX-XXXX-XXXX-9199   Walmart.Com 8009256278   $     21.96
5/11/2026   5/8/2026 XXXX-XXXX-XXXX-9199   Amazon Mktpl Bf01g3b02   $     31.99
5/11/2026   5/8/2026 XXXX-XXXX-XXXX-9199   Amazon Mktpl Bf7a17b92   $     37.60
5/11/2026   5/8/2026 XXXX-XXXX-XXXX-9199   Amazon Mktpl Bf62q0hw2   $     99.03
5/11/2026   5/8/2026 XXXX-XXXX-XXXX-9199   School Specialty Ecomm   $    175.19
5/11/2026   5/8/2026 XXXX-XXXX-XXXX-9199   Hal Leonard Corporatio   $    259.40
5/11/2026   5/8/2026 XXXX-XXXX-XXXX-9199   Stapls7679519554000002   $    274.25
5/11/2026   5/8/2026 XXXX-XXXX-XXXX-9199   Odp Bus Sol Llc# 10686   $    298.69
5/11/2026   5/8/2026 XXXX-XXXX-XXXX-9199   Stapls7915473678000002   $    960.24
5/11/2026   5/8/2026 XXXX-XXXX-XXXX-5273   Linder Tire - Iowa Cit   $     66.80
5/11/2026   5/8/2026 XXXX-XXXX-XXXX-1519   Napa Store 3137142       $     15.99
5/11/2026   5/8/2026 XXXX-XXXX-XXXX-1519   Sinclair Tractor         $     20.44
5/11/2026   5/8/2026 XXXX-XXXX-XXXX-1519   Hi-Line, Inc.            $    311.91
5/11/2026   5/8/2026 XXXX-XXXX-XXXX-7634   Nichols Controls &supp   $     50.75
5/11/2026    5/8/2026 XXXX-XXXX-XXXX-7634   Johnstone Supply - 614   $   502.73
5/11/2026    5/8/2026 XXXX-XXXX-XXXX-9219   Jimmy Johns - 2101 Mot   $   164.33
5/11/2026    5/8/2026 XXXX-XXXX-XXXX-7262   Kwik Star #1927          $    46.18
5/11/2026    5/8/2026 XXXX-XXXX-XXXX-8011   White Cap #105           $    14.09
5/11/2026    5/8/2026 XXXX-XXXX-XXXX-3050   Usps Po 1866150317       $     2.44
5/11/2026    5/8/2026 XXXX-XXXX-XXXX-5774   Psc Distribution, Inc.   $    10.66
5/11/2026    5/8/2026 XXXX-XXXX-XXXX-6253   Electric Motors Of Ic    $    79.02
5/11/2026    5/8/2026 XXXX-XXXX-XXXX-6253   Sq African American H    $   150.00
5/11/2026    5/8/2026 XXXX-XXXX-XXXX-6253   Sq Moo Moos Ice Crea     $   716.25
5/11/2026    5/9/2026 XXXX-XXXX-XXXX-2309   National Registry Emt    $   104.00
5/11/2026    5/9/2026 XXXX-XXXX-XXXX-6083   Shell Oil 12654405005    $    82.21
5/11/2026    5/9/2026 XXXX-XXXX-XXXX-9167   Amazon.Com Bv79g17f1     $    21.46
5/11/2026    5/9/2026 XXXX-XXXX-XXXX-9167   Amazon.Com Bv84g9ib1     $   109.68
5/11/2026    5/9/2026 XXXX-XXXX-XXXX-4783   Microsoft-G157765640     $    23.47
5/11/2026    5/9/2026 XXXX-XXXX-XXXX-9199   Amazon Mktpl Hl2tc5df3   $    63.55
