Account                     Transaction Date   Supplier - Name          Transaction - Description                                                                                        Amount
10 0403 1100 100 0000 612   05/04/2026   Amazon.Com Bv0y78902     Sharpie Permanent Markers 12 ct.                                                                                   6.99
61 0118 2640 000 0000 687   05/04/2026   Menards Iowa City Ia     handle nail hammer                                                                                                 7.99
10 0000 2610 000 0000 687   05/04/2026   Van Meter Inc - Iowa C   CFI storage room lighting                                                                                       315.34
21 0118 1900 950 7250 611   05/04/2026   Cedar Memorial Flower    Flowers for staff member who passed away                                                                         91.24
61 0000 3110 000 0000 618   05/04/2026   The Webstaurant Store    monthly shipping charge                                                                                          99.00
21 0114 1900 950 7165 611   05/04/2026   Paypal Mathleague        Math League registration for competition in St. Louis                                                           105.00
21 0493 1900 950 7070 611   05/04/2026   Lowes #01688             Purchase Lowes #01688                                                                                           145.76
                                                                  Assorted Office Supples: Permanent markers, construction paper, index cards, storagebags, sticky notes, tape
10 0403 1100 100 0000 612   05/04/2026   Amazon Mktpl Bv9rc7kw2   dispenser, ink, etc.                                                                                            242.22
10 0403 1100 100 0000 612   05/04/2026   Amazon Mktpl Bs6070uq0   EXPO Markers, Construction Paper                                                                                 40.97
10 0218 1100 102 0000 612   05/04/2026   Amazon Mktpl Bs1x49ip0   Art printmaking lesson-Office Depot Professional Brochure and Flyer Paper (Qty 2)                                42.76
10 0000 2650 000 0000 681   05/04/2026   Arnold Motor Supply 4    Mowers oil and filters                                                                                           57.12
10 0000 2650 000 0000 682   05/04/2026   Arnold Motor Supply 4    Mowers oil and filters                                                                                           35.77
21 0118 1900 950 7025 611   05/04/2026   Iowa 4h Foundation       2026 SSTIFI Registration                                                                                        120.00
21 0427 1900 950 7056 611   05/04/2026   Amazon Mktpl Bv7nt8mi2   Big Idea Grant for School Garden-Gardening Supplies                                                             349.99
10 0118 1200 212 3301 612   05/04/2026   Panda Express #2052 P    edible reinforcement for SID:                                                                                    25.81
10 0118 1200 215 3302 612   05/04/2026   Panda Express #2052 P    edible reinforcement for SID:                                                                                    25.81
10 0114 2700 920 6750 515   05/04/2026   Kwik Star #1927          Gas for van to travel to away match                                                                              17.67
21 0118 1900 921 6725 611   05/04/2026   Jersey Mikes 38033       Purchase Jersey Mikes 38033                                                                                     166.00
10 0213 1300 355 0000 612   05/04/2026   Wm Supercenter #2827     Purchase Wm Supercenter #2827 FCS I pizza, Food and nutrition salsa                                              74.70
21 0109 1900 920 6740 582   05/04/2026   Home2 Stes Dsm Drake U   HOME2 Suites by Hilton - Drake Relays -City High Schools                                                        538.04
21 0109 1900 920 6840 582   05/04/2026   Home2 Stes Dsm Drake U   HOME2 Suites by Hilton - Drake Relays -City High Schools                                                       3,228.21
21 0109 1900 920 6601 611   05/04/2026   Home2 Stes Dsm Drake U   HOME2 Suites by Hilton - Drake Relays -City High Schools                                                       3,766.24
21 0118 1900 950 7250 611   05/04/2026   Dd Doordashdashpass      personal charge on accident reimbursed attached is the deposit slip-amanda                                         9.99
21 0114 1900 950 7220 611   05/04/2026   Jersey Mikes Online Uc   Lunch for Concert Band Festival judges                                                                           53.51
21 0109 1900 950 7015 611   05/04/2026   Amazon.Com Bj88j5310     City HS Library books                                                                                            41.93
10 0000 2650 000 0000 683   05/04/2026   Linder Tire - Iowa Cit   Unit 413 mount tires                                                                                             52.00
10 0000 1100 460 3117 612   05/04/2026   Amazon.Com Bv29i45l2     Preschool Supplies: Insect Lore 2 cups of caterpillars-Butterfly Garden Kit Refill                               39.38
21 0209 1900 950 7000 611   05/01/2026   Amazon.Com Bs3k662i0     Literacy Books - Alyssa McKeone/LA donation                                                                      84.36
21 0114 1900 950 7135 611   05/01/2026   Usps Po 1843930899       Postage to return Shrek scripts/music                                                                           128.25
10 0218 1300 355 0000 612   05/01/2026   Hy-Vee Iowa City 1285    Purchase Hy-Vee Iowa City 1285 FCS                                                                               23.94
21 0109 2700 920 6860 515   05/01/2026   Caseys #4589             Girls Golf Van Gas                                                                                               51.66
10 0000 2610 000 0000 685   05/01/2026   Johnstone Supply - 614   City Alumni Bldg mini split                                                                                     779.67
21 0209 1900 950 7000 611   05/01/2026   Amazon.Com Bs2cw17b0     Four Eids and a Funeral - Literacy Books - Alyssa McKeone/LA donation                                            10.67
21 0118 1900 950 7015 611   05/01/2026   Amazon.Com Bj4xf2pu1     West HS Library books & MakerSpace items                                                                         23.98
10 0000 2630 000 0000 686   05/01/2026   Napa Store 3137142       Mowers spark plugs, oil                                                                                          29.96
10 0000 2650 000 0000 681   05/01/2026   Napa Store 3137142       Mowers spark plugs, oil                                                                                          48.93
10 0000 2610 000 0000 688   05/01/2026   Menards Iowa City Ia     CFI classrooms sealant                                                                                           20.47
10 0432 1200 215 3302 612   05/01/2026   Walmart.Com              Edibles for SID:                                                                                                 12.84
10 0142 2221 000 0000 611   05/01/2026   Hy-Vee Iowa City 1288    mailing of chromebook to West Des Moines                                                                         13.55
10 0000 2494 000 0000 611   05/01/2026   Odp Bus Sol Llc# 10686   14-Month Daily Academic Planner x20                                                                             374.10
10 0209 1200 215 3302 612   05/01/2026   Amazon Mktpl Bs01b39y0   Tangible for SID:                                                                                                14.99
21 0118 1900 921 6730 611   05/01/2026   Glovers Scorebooks       Purchase Glovers Scorebooks                                                                                      90.25
21 0118 1900 921 6835 611   05/01/2026   Glovers Scorebooks       Purchase Glovers Scorebooks                                                                                      90.25
21 0109 1900 920 6860 611   05/01/2026   Ellis Golf Course        Range Balls                                                                                                      33.99
10 0000 2329 000 0000 582   05/01/2026   Hyatt Place              Purchase Hyatt Place                                                                                            333.76
10 0000 2610 000 0000 689   05/01/2026   Plumb Supply - Ioc - 0   WO 214320 thermostat                                                                                             39.56
10 0000 2610 000 0000 685   05/01/2026   Psc Distribution, Inc.   WO 204826 fittings                                                                                               22.48
10 0475 1100 100 0000 612   05/01/2026   Odp Bus Sol Llc# 10686   Office Supplies                                                                                                 395.28
10 0000 2700 421 4565 515   05/01/2026   Hy-Vee Iowa City 1288    Gas Cards -MKV                                                                                                 4,000.00
10 0109 1100 100 0000 612   05/01/2026   Amazon Mktpl Bv5ag2vx2   Radical DVD- J.Ceurvorst/General World Language                                                                  41.55
21 0109 1900 920 6860 611   05/01/2026   Twin Pines Golf Course   Range Balls                                                                                                        9.27
10 0114 2700 950 7000 515   05/01/2026   Kwik Star #1927          Fuel for Battle of the Books - Liberty                                                                           48.62
10 0000 2610 000 0000 689   05/01/2026   Plumb Supply - Ioc - 0   WO 214320 elements                                                                                              138.46
10 0475 1100 100 0000 612   05/01/2026   Odp Bus Sol Llc # 1012   Sandwich Bags                                                                                                    20.42
10 0488 1200 218 3303 612   05/01/2026   Amazon Mktpl Bs65v4kz0   Break item for SID:                                                                                             118.99
10 0218 1300 355 0000 612   05/01/2026   Hy-Vee Iowa City 1285    Purchase Hy-Vee Iowa City 1285 FCS G.Westfall-K. Schopf LTS                                                      26.05
10 0000 2327 000 0000 611   05/01/2026   Rev.Com                  Closed Captioning Bd Mtg 4/14/26 4 hours                                                                        777.60
21 0109 1900 923 6825 611   05/01/2026   Subway 28736             Pregame Meals                                                                                                   309.50
10 0000 2327 000 0000 611   05/01/2026   Ups 2955462229e          Shipping package of school supplies to student who moved to Tipton.                                                9.65
21 0109 2700 920 6860 515   05/01/2026   Bp#3299700iowa Cityqps   Girls Golf Van Gas                                                                                               12.15
21 0406 1900 950 7000 611   04/30/2026   Amazon.Com Bs98j7810     Shop Succulents Rosette Succulent Plant Pack of 64 - Teacher Appreciation Week                                   90.03
10 0209 1300 355 0000 612   04/30/2026   Hy-Vee Aisles Online 4   Purchase Hy-Vee Aisles Online 4 - Food labs                                                                      77.82
21 0118 1900 950 7015 611   04/30/2026   Amazon.Com Bs0c31b70     West HS Library books                                                                                            34.80
10 0114 2700 920 6750 515   04/30/2026   Kwik Star #1927          Gas for van to travel to away match                                                                              41.00
10 0109 1200 218 3303 612   04/30/2026   Amazon.Com Bs2py06w0     PPE for SID:                                                                                                     20.47
10 0109 1200 215 3302 612   04/30/2026   Fareway Stores #034      Budgeting, shopping, cooking with SIDs:                                                                            3.00
10 0114 1200 215 3302 612   04/30/2026   Fareway Stores #034      Budgeting, shopping, cooking with SIDs:                                                                            3.00
10 0109 1200 218 3303 612   04/30/2026   Fareway Stores #034      Budgeting, shopping, cooking with SIDs:                                                                          11.97
21 0442 1900 950 7000 611   04/30/2026   Amazon Mktpl Bv8aq4302   Stencils for end of year celebration - Kara Dickel                                                                 6.64
21 0118 1900 950 7135 611   04/30/2026   Music Theatre Intl       rights for next years show - PO / receipt attached                                                              400.00
21 0118 1900 921 6725 611   04/30/2026   Jersey Mikes 38033       Purchase Jersey Mikes 38033                                                                                     628.45
                                                                  Kirkwood-Cooking Club/Self Care -Flour, Refried Beans, Popcorn, Paper Plates, Yogurt, Frozen Fruit, Apple
21 0406 1900 950 7031 611   04/30/2026   Hy-Vee Aisles Online 4   Juice                                                                                                            56.44
10 0000 2327 000 0000 611   04/30/2026   Ups 1zt4685j0324726429   Shipping package of school supplies to student who moved to Tipton.                                              15.24
10 0000 2610 000 0000 685   04/30/2026   Menards Iowa City Ia     WO 211404 filters                                                                                                  9.98
21 0118 1900 950 7145 611   04/30/2026   Paypal Custominkre       Yearbook Team T-Shirts                                                                                          502.86
21 0209 1900 950 7087 611   04/30/2026   Amazon Mktpl Bs3q27h50   30pk Lined Notebook Journals - Derek Coorough/SFA - Friday Girls Group                                           23.99
10 0114 2700 950 7000 515   04/30/2026   Kwik Star #1927          Fuel for Battle of the Books - Liberty                                                                           61.81
61 0118 2640 000 0000 433   04/30/2026   Hawkeye Weld Repair In   welding for hot carts                                                                                           104.00
21 0109 2700 920 6860 515   04/30/2026   Maverik #5336            Gas for Girls Golf Van                                                                                           22.07
10 0114 2700 920 6750 515   04/30/2026   Kwik Star #1927          Gas for van to travel to away match                                                                                  35.87
10 0218 1300 355 0000 612   04/30/2026   Hy-Vee Iowa City 1285    Purchase Hy-Vee Iowa City 1285 FCS G.Westfall-K.Schopf                                                               69.80
10 0136 1300 355 0000 612   04/30/2026   Hy-Vee Iowa City 1285    Purchase Hy-Vee Iowa City 1285 Janelle Roberts, FCS                                                                  29.15
10 0118 1100 100 0000 612   04/30/2026   Openai Chatgpt Subscr    Mitch's Subscription for Chatgp                                                                                      21.20
21 0114 1900 950 7015 611   04/30/2026   Great Plains Sauce & D   Battle of the Books meal                                                                                             49.75
10 0000 1100 100 1996 612   04/30/2026   1600venture Llc          Digital Badge Tool for Careers to Credentials                                                                       399.00
