meeting_date,meeting_id,document_name,file_size_bytes,filename
2025-02-25,30981,20250218_DetailCheckRegister.pdf,177774,2025-02-25__20250218_DetailCheckRegister.pdf
2025-02-25,30981,20250218b_BoardReport10003.pdf,38357,2025-02-25__20250218b_BoardReport10003.pdf
2025-02-25,30981,20250218b_CheckRegisterbyCheckingAccount.pdf,8772,2025-02-25__20250218b_CheckRegisterbyCheckingAccount.pdf
2025-02-25,30981,20250218b_DetailCheckRegister.pdf,31014,2025-02-25__20250218b_DetailCheckRegister.pdf
2025-02-25,30981,Accounts_Payable_Summaries - 20250225.pdf,47390,2025-02-25__Accounts_Payable_Summaries - 20250225.pdf
2025-03-11,30982,2-25-25BoardReport10003.pdf,56600,2025-03-11__2-25-25BoardReport10003.pdf
2025-03-11,30982,2-25-25CheckRegisterbyCheckingAccount.pdf,12359,2025-03-11__2-25-25CheckRegisterbyCheckingAccount.pdf
2025-03-11,30982,2-25-25DetailCheckRegister.pdf,50209,2025-03-11__2-25-25DetailCheckRegister.pdf
2025-03-11,30982,3-4-25BoardReport10003.pdf,187060,2025-03-11__3-4-25BoardReport10003.pdf
2025-03-11,30982,3-4-25CheckRegisterbyCheckingAccount.pdf,22252,2025-03-11__3-4-25CheckRegisterbyCheckingAccount.pdf
2025-03-11,30982,3-4-25DetailCheckRegister.pdf,140937,2025-03-11__3-4-25DetailCheckRegister.pdf
2025-03-11,30982,Accounts_Payable_Summaries - 20250311.pdf,47733,2025-03-11__Accounts_Payable_Summaries - 20250311.pdf
2025-03-25,30987,20250318BoardReport10003.pdf,208161,2025-03-25__20250318BoardReport10003.pdf
2025-03-25,30987,20250318CheckRegisterbyCheckingAccount.pdf,26042,2025-03-25__20250318CheckRegisterbyCheckingAccount.pdf
2025-03-25,30987,20250318DetailCheckRegister.pdf,157324,2025-03-25__20250318DetailCheckRegister.pdf
2025-03-25,30987,3-11-25BoardReport10003.pdf,40417,2025-03-25__3-11-25BoardReport10003.pdf
2025-03-25,30987,3-11-25CheckRegisterbyCheckingAccount.pdf,10781,2025-03-25__3-11-25CheckRegisterbyCheckingAccount.pdf
2025-03-25,30987,3-11-25DetailCheckRegister.pdf,35402,2025-03-25__3-11-25DetailCheckRegister.pdf
2025-03-25,30987,Accounts_Payable_Summaries - 20250325.pdf,46895,2025-03-25__Accounts_Payable_Summaries - 20250325.pdf
2025-04-08,30988,3-25-25BoardReport10003.pdf,32597,2025-04-08__3-25-25BoardReport10003.pdf
2025-04-08,30988,3-25-25CheckRegisterbyCheckingAccount.pdf,8883,2025-04-08__3-25-25CheckRegisterbyCheckingAccount.pdf
2025-04-08,30988,3-25-25DetailCheckRegister.pdf,25910,2025-04-08__3-25-25DetailCheckRegister.pdf
2025-04-08,30988,4-1-25BoardReport10003.pdf,168847,2025-04-08__4-1-25BoardReport10003.pdf
2025-04-08,30988,4-1-25CheckRegisterbyCheckingAccount.pdf,21741,2025-04-08__4-1-25CheckRegisterbyCheckingAccount.pdf
2025-04-08,30988,4-1-25DetailCheckRegister.pdf,133321,2025-04-08__4-1-25DetailCheckRegister.pdf
2025-04-08,30988,Accounts_Payable_Summaries - 20250408.pdf,47312,2025-04-08__Accounts_Payable_Summaries - 20250408.pdf
2025-04-22,30994,4-15-25BoardReport10003.pdf,252863,2025-04-22__4-15-25BoardReport10003.pdf
2025-04-22,30994,4-15-25CheckRegisterbyCheckingAccount.pdf,29210,2025-04-22__4-15-25CheckRegisterbyCheckingAccount.pdf
2025-04-22,30994,4-15-25DetailCheckRegister.pdf,181309,2025-04-22__4-15-25DetailCheckRegister.pdf
2025-04-22,30994,4-8-25BoardReport10003.pdf,53759,2025-04-22__4-8-25BoardReport10003.pdf
2025-04-22,30994,4-8-25CheckRegisterbyCheckingAccount.pdf,11744,2025-04-22__4-8-25CheckRegisterbyCheckingAccount.pdf
2025-04-22,30994,4-8-25DetailCheckRegister.pdf,43963,2025-04-22__4-8-25DetailCheckRegister.pdf
2025-04-22,30994,Accounts_Payable_Summaries - 20250422.pdf,47648,2025-04-22__Accounts_Payable_Summaries - 20250422.pdf
2025-05-13,25984,4-22-25BoardReport10003.pdf,53452,2025-05-13__4-22-25BoardReport10003.pdf
2025-05-13,25984,4-22-25CheckRegisterbyCheckingAccount.pdf,11664,2025-05-13__4-22-25CheckRegisterbyCheckingAccount.pdf
2025-05-13,25984,4-22-25DetailCheckRegister.pdf,45993,2025-05-13__4-22-25DetailCheckRegister.pdf
2025-05-13,25984,4-29-25BoardReport10003.pdf,48894,2025-05-13__4-29-25BoardReport10003.pdf
2025-05-13,25984,4-29-25CheckRegisterbyCheckingAccount.pdf,11498,2025-05-13__4-29-25CheckRegisterbyCheckingAccount.pdf
2025-05-13,25984,4-29-25DetailCheckRegister.pdf,43823,2025-05-13__4-29-25DetailCheckRegister.pdf
2025-05-13,25984,5-6-25BoardReport10003.pdf,251882,2025-05-13__5-6-25BoardReport10003.pdf
2025-05-13,25984,5-6-25CheckRegisterbyCheckingAccount.pdf,28058,2025-05-13__5-6-25CheckRegisterbyCheckingAccount.pdf
2025-05-13,25984,5-6-25DetailCheckRegister.pdf,186235,2025-05-13__5-6-25DetailCheckRegister.pdf
2025-05-13,25984,Accounts_Payable_Summaries - 20250513.pdf,48123,2025-05-13__Accounts_Payable_Summaries - 20250513.pdf
2025-05-27,26020,5-13-25BoardReport10003.pdf,44826,2025-05-27__5-13-25BoardReport10003.pdf
2025-05-27,26020,5-20-25BoardReport10003.pdf,221056,2025-05-27__5-20-25BoardReport10003.pdf
2025-05-27,26020,Accounts_Payable_Summaries - 20250527.pdf,47801,2025-05-27__Accounts_Payable_Summaries - 20250527.pdf
2025-06-10,27223,5-27-25BoardReport10003.pdf,36818,2025-06-10__5-27-25BoardReport10003.pdf
2025-06-10,27223,5-28-25BoardReport10003.pdf,8471,2025-06-10__5-28-25BoardReport10003.pdf
2025-06-10,27223,6-3-25BoardReport10003.pdf,244386,2025-06-10__6-3-25BoardReport10003.pdf
2025-06-10,27223,Accounts_Payable_Summaries - 20250610.pdf,47446,2025-06-10__Accounts_Payable_Summaries - 20250610.pdf
2025-07-22,27220,07-08-2025BoardReport10003.pdf,210103,2025-07-22__07-08-2025BoardReport10003.pdf
2025-07-22,27220,20250624BoardReport10003.pdf,114302,2025-07-22__20250624BoardReport10003.pdf
2025-07-22,27220,7-15-2025BoardReport10003.pdf,160973,2025-07-22__7-15-2025BoardReport10003.pdf
2025-07-22,27220,Accounts_Payable_Summaries - 20250715.pdf,48222,2025-07-22__Accounts_Payable_Summaries - 20250715.pdf
2025-08-12,27214,20250729BoardReport10003.pdf,29531,2025-08-12__20250729BoardReport10003.pdf
2025-08-12,27214,8-5-2025_BoardReport10003.pdf,199774,2025-08-12__8-5-2025_BoardReport10003.pdf
2025-08-12,27214,Accounts_Payable_Summaries - 20250812.pdf,47870,2025-08-12__Accounts_Payable_Summaries - 20250812.pdf
2025-08-26,27210,8-12-2025BoardReport10003.pdf,39406,2025-08-26__8-12-2025BoardReport10003.pdf
2025-08-26,27210,8-19-25BoardReport10003.pdf,233134,2025-08-26__8-19-25BoardReport10003.pdf
2025-08-26,27210,Accounts_Payable_Summaries - 20250826.pdf,47835,2025-08-26__Accounts_Payable_Summaries - 20250826.pdf
2025-09-09,27204,2025-9-2BoardReport10003.pdf,200051,2025-09-09__2025-9-2BoardReport10003.pdf
2025-09-09,27204,8-26-25BoardReport10003.pdf,60930,2025-09-09__8-26-25BoardReport10003.pdf
2025-09-09,27204,Accounts_Payable_Summaries - 20250909.pdf,47959,2025-09-09__Accounts_Payable_Summaries - 20250909.pdf
2025-09-23,27201,9-16-2025BoardReport10003.pdf,368864,2025-09-23__9-16-2025BoardReport10003.pdf
2025-09-23,27201,9-9-2025BoardReport10003.pdf,62667,2025-09-23__9-9-2025BoardReport10003.pdf
2025-09-23,27201,Accounts_Payable_Summaries - 20250916.pdf,47712,2025-09-23__Accounts_Payable_Summaries - 20250916.pdf
2025-10-14,27190,10-7-25BoardReport10003.pdf,308638,2025-10-14__10-7-25BoardReport10003.pdf
2025-10-14,27190,9-23-25BoardReport10003.pdf,59585,2025-10-14__9-23-25BoardReport10003.pdf
2025-10-14,27190,9-30-25BoardReport10003.pdf,73974,2025-10-14__9-30-25BoardReport10003.pdf
2025-10-14,27190,Accounts_Payable_Summaries - 20251007.pdf,47604,2025-10-14__Accounts_Payable_Summaries - 20251007.pdf
2025-10-28,25979,10-14-25BoardReport10003.pdf,63577,2025-10-28__10-14-25BoardReport10003.pdf
2025-10-28,25979,10-22-25BoardReport10003.pdf,205812,2025-10-28__10-22-25BoardReport10003.pdf
2025-10-28,25979,Accounts_Payable_Summaries - 20251021.pdf,45352,2025-10-28__Accounts_Payable_Summaries - 20251021.pdf
2025-11-11,25797,10-28-25BoardReport10003 (1).pdf,46298,2025-11-11__10-28-25BoardReport10003 (1).pdf
2025-11-11,25797,10-30-25BoardReport10003.pdf,8807,2025-11-11__10-30-25BoardReport10003.pdf
2025-11-11,25797,2025-4-11BoardReport10003.pdf,228733,2025-11-11__2025-4-11BoardReport10003.pdf
2025-11-11,25797,Accounts_Payable_Summaries - 20251104.pdf,47342,2025-11-11__Accounts_Payable_Summaries - 20251104.pdf
2025-12-09,25270,11-18-25BoardReport10003.pdf,224559,2025-12-09__11-18-25BoardReport10003.pdf
2025-12-09,25270,11-25-25BoardReport10003.pdf,57456,2025-12-09__11-25-25BoardReport10003.pdf
2025-12-09,25270,12-2-2025BoardReport10003.pdf,165092,2025-12-09__12-2-2025BoardReport10003.pdf
2025-12-09,25270,2025-11-11BoardReport10003.pdf,46505,2025-12-09__2025-11-11BoardReport10003.pdf
2025-12-09,25270,Accounts_Payable_Summaries - 20251202.pdf,37190,2025-12-09__Accounts_Payable_Summaries - 20251202.pdf
2026-01-13,25481,1-6-2026 BoardReport10003.pdf,297690,2026-01-13__1-6-2026 BoardReport10003.pdf
2026-01-13,25481,12-16-2025BoardReport10003.pdf,261273,2026-01-13__12-16-2025BoardReport10003.pdf
2026-01-13,25481,12-9-2025BoardReport10003.pdf,76581,2026-01-13__12-9-2025BoardReport10003.pdf
2026-01-13,25481,Accounts_Payable_Summaries - 20260106.pdf,37135,2026-01-13__Accounts_Payable_Summaries - 20260106.pdf
2026-01-27,25486,1-13-26BoardReport10003.pdf,58210,2026-01-27__1-13-26BoardReport10003.pdf
2026-01-27,25486,2026-1-20BoardReport10003.pdf,250778,2026-01-27__2026-1-20BoardReport10003.pdf
2026-01-27,25486,Accounts_Payable_Summaries - 20260120.pdf,47509,2026-01-27__Accounts_Payable_Summaries - 20260120.pdf
2026-02-10,25489,1-27-2026_BoardReport10003.pdf,58721,2026-02-10__1-27-2026_BoardReport10003.pdf
2026-02-10,25489,2-3-2026_BoardReport10003.pdf,225628,2026-02-10__2-3-2026_BoardReport10003.pdf
2026-02-10,25489,Accounts_Payable_Summaries - 20260203.pdf,47501,2026-02-10__Accounts_Payable_Summaries - 20260203.pdf
2026-02-24,25490,2-10-26_BoardReport10003.pdf,54227,2026-02-24__2-10-26_BoardReport10003.pdf
2026-02-24,25490,2-16-26BoardReport10003.pdf,10671,2026-02-24__2-16-26BoardReport10003.pdf
2026-02-24,25490,2-18-26BoardReport10003.pdf,195823,2026-02-24__2-18-26BoardReport10003.pdf
2026-02-24,25490,2-5-2026_BoardReport10003.pdf,8475,2026-02-24__2-5-2026_BoardReport10003.pdf
2026-02-24,25490,Accounts_Payable_Summaries - 20260224.pdf,47459,2026-02-24__Accounts_Payable_Summaries - 20260224.pdf
2026-03-10,25492,2-24-26_BoardReport10003.pdf,38427,2026-03-10__2-24-26_BoardReport10003.pdf
2026-03-10,25492,2-26-26_BoardReport10003.pdf,9611,2026-03-10__2-26-26_BoardReport10003.pdf
2026-03-10,25492,3-3-26_BoardReport10003.pdf,129217,2026-03-10__3-3-26_BoardReport10003.pdf
2026-03-10,25492,Accounts_Payable_Summaries - 20260310.pdf,59026,2026-03-10__Accounts_Payable_Summaries - 20260310.pdf
2026-04-14,28493,3-24-2026 BoardReport10003.pdf,27105,2026-04-14__3-24-2026 BoardReport10003.pdf
2026-04-14,28493,3-31-2026 BoardReport10003.pdf,37578,2026-04-14__3-31-2026 BoardReport10003.pdf
2026-04-14,28493,4-7-2026 BoardReport10003.pdf,166489,2026-04-14__4-7-2026 BoardReport10003.pdf
2026-04-14,28493,Accounts Payable Summaries 20260414.pdf,20200,2026-04-14__Accounts Payable Summaries 20260414.pdf
